FullDate,Year,Month Name,Month,Quarter
17/03/2013,2013,March,3,1
18/03/2013,2013,March,3,1
19/03/2013,2013,March,3,1
20/03/2013,2013,March,3,1
21/03/2013,2013,March,3,1
22/03/2013,2013,March,3,1
23/03/2013,2013,March,3,1
24/03/2013,2013,March,3,1
25/03/2013,2013,March,3,1
26/03/2013,2013,March,3,1
27/03/2013,2013,March,3,1
28/03/2013,2013,March,3,1
29/03/2013,2013,March,3,1
30/03/2013,2013,March,3,1
31/03/2013,2013,March,3,1
1/04/2013,2013,April,4,2
2/04/2013,2013,April,4,2
3/04/2013,2013,April,4,2
4/04/2013,2013,April,4,2
5/04/2013,2013,April,4,2
6/04/2013,2013,April,4,2
7/04/2013,2013,April,4,2
8/04/2013,2013,April,4,2
9/04/2013,2013,April,4,2
10/04/2013,2013,April,4,2
11/04/2013,2013,April,4,2
12/04/2013,2013,April,4,2
13/04/2013,2013,April,4,2
14/04/2013,2013,April,4,2
15/04/2013,2013,April,4,2
16/04/2013,2013,April,4,2
17/04/2013,2013,April,4,2
18/04/2013,2013,April,4,2
19/04/2013,2013,April,4,2
20/04/2013,2013,April,4,2
22/04/2013,2013,April,4,2
23/04/2013,2013,April,4,2
24/04/2013,2013,April,4,2
25/04/2013,2013,April,4,2
26/04/2013,2013,April,4,2
27/04/2013,2013,April,4,2
29/04/2013,2013,April,4,2
30/04/2013,2013,April,4,2
1/05/2013,2013,May,5,2
2/05/2013,2013,May,5,2
3/05/2013,2013,May,5,2
4/05/2013,2013,May,5,2
5/05/2013,2013,May,5,2
6/05/2013,2013,May,5,2
7/05/2013,2013,May,5,2
8/05/2013,2013,May,5,2
9/05/2013,2013,May,5,2
10/05/2013,2013,May,5,2
11/05/2013,2013,May,5,2
12/05/2013,2013,May,5,2
13/05/2013,2013,May,5,2
14/05/2013,2013,May,5,2
15/05/2013,2013,May,5,2
16/05/2013,2013,May,5,2
17/05/2013,2013,May,5,2
18/05/2013,2013,May,5,2
19/05/2013,2013,May,5,2
20/05/2013,2013,May,5,2
21/05/2013,2013,May,5,2
22/05/2013,2013,May,5,2
23/05/2013,2013,May,5,2
24/05/2013,2013,May,5,2
25/05/2013,2013,May,5,2
26/05/2013,2013,May,5,2
27/05/2013,2013,May,5,2
28/05/2013,2013,May,5,2
29/05/2013,2013,May,5,2
30/05/2013,2013,May,5,2
31/05/2013,2013,May,5,2
1/06/2013,2013,June,6,2
